from_vertex_id;to_vertex_id;one_way;weight;geom
24375;24373;FT;47.381542;LINESTRING(37.567096 55.732120,37.566865 55.732007,37.566531 55.731837)
7488;7489;FT;6.342139;LINESTRING(37.614010 55.769044,37.614041 55.769035,37.614107 55.769028)
18982;18980;FT;25.191636;LINESTRING(37.586905 55.751482,37.586922 55.751451,37.587017 55.751264)
8899;8901;FT;77.430529;LINESTRING(37.671120 55.728357,37.671406 55.727949,37.671574 55.727710)
18264;18265;FT;57.599218;LINESTRING(37.586141 55.761018,37.586396 55.761376,37.586488 55.761498)
9185;9183;FT;25.000729;LINESTRING(37.696920 55.755236,37.696735 55.755072,37.696706 55.755047)
430;432;FT;21.317707;LINESTRING(37.631840 55.764721,37.631659 55.764735,37.631503 55.764748)
7136;7138;FT;33.569732;LINESTRING(37.664450 55.741530,37.664681 55.741414,37.664853 55.741331)
23505;4300;FT;7.809710;LINESTRING(37.677428 55.757633,37.677440 55.757673,37.677388 55.757677)
23505;23503;FT;35.927297;LINESTRING(37.677428 55.757633,37.677440 55.757673,37.677534 55.757950)
11736;6299;FT;15.082506;LINESTRING(37.619545 55.734962,37.619539 55.734921,37.619371 55.734923)
11736;11737;FT;34.010577;LINESTRING(37.619545 55.734962,37.619539 55.734921,37.619492 55.734658)
21050;21020;FT;25.431595;LINESTRING(37.693502 55.738779,37.693308 55.738925,37.693323 55.738879)
21050;21048;FT;23.275822;LINESTRING(37.693502 55.738779,37.693308 55.738925,37.693279 55.738947)
13293;13291;FT;19.181222;LINESTRING(37.601246 55.743481,37.601370 55.743596,37.601404 55.743629)
3399;3400;FT;14.622390;LINESTRING(37.657481 55.747401,37.657482 55.747308,37.657482 55.747270)
11479;8089;FT;106.789337;LINESTRING(37.671981 55.745563,37.673367 55.745653,37.673348 55.745827)
11479;8090;FT;118.457173;LINESTRING(37.671981 55.745563,37.673367 55.745653,37.673374 55.745373)
11479;11477;FT;161.882417;LINESTRING(37.671981 55.745563,37.673367 55.745653,37.674549 55.745733)
